arXiv ID,Primary category,Journal,Is proceedings,Presents new numerical results,UK authors,Generates field configurations,Specifies software used for configuration generation,Software used for configuration generation,Repository/hosting service for configuration generation code,Performs measurements,Specifies software used for measurement,Software used for measurements,Repository/hosting service for measurement code,Uses existing configurations,Configuration hosting infrastructure acknowledged,Cites existing configurations,Configurations generated by,Reanalyses other existing data,Cites other existing data,Publishes data,Data available on request?,Repository used for data,Specifies software used for analysis,Software used for analysis,Repository/hosting service for analysis code,Publishes parts of analysis,Publishes full analysis,Acknowledges an HPC centre,Acknowledges Supercomputing Wales,Acknowledges DiRAC,Review paper,Cites any other software,Comments
2107.04561,hep-th,JHEP,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Mentioned by name,Mathematica,,N,N,Y,N,N,N,,
2107.04742,nucl-th,Phys.Rev.C,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2107.04769,quant-ph, ,N,N?,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,Y?,Paper citation,
2107.04853,hep-lat,Eur.Phys.J.C,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,URL citation,R,,N,N,N,N,N,N,Paper citation,"Cites Kokkos, but doesn't spcify how it was used"
2107.04860,hep-ph,Phys.Rev.Lett.,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2107.04957,hep-ph,Chin.Phys.Lett.,N,Y,N,N,,,,N,,,,N,,,,N?,,N,N,,No,,,N,N,N,N,N,N,,
2107.05199,hep-lat,JHEP,N,Y,N,N,,,,Y,Paper citation,"Chroma, QUDA, QDP-JIT, QPhiX",,Y,,Mentioned by name,JLab/W&M/LANL/MIT,N,,N,N,,No,,,N,N,Y,N,N,N,,
2107.05209,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2107.05271,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Mentioned by name,Mathematica,,N,N,N,N,N,N,,
2107.05352,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2107.05521,hep-ph, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.05996,hep-lat,JHEP,N,Y,N,Y,No,,,Y,No,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,Y,N,N,N,,
